"Qty";"Value";"Device";"Package";"Parts";"Description";"DESIGNER";"MPN";"VERSION";
"1";"";"FERRITE_0402MP";"_0402MP";"FB1";"Ferrite Bead";"";"BLM15PD121SN1D";"";
"2";"0.1uF";"CAPACITOR";"01005";"C13, C17";"01005 Ceramic SMD capacitor";"";"GRM022R60G104ME15L";"";
"5";"0.1uF";"CAPACITOR_0201";"PART";"C12, C19, C22, C25, C27";"";"";"GRM033C80J104KE84D";"";
"1";"1.6nH";"INDUCTOR_FIXED_0201";"PART";"L2";"";"";"LQP03HQ1N6B02D";"";
"1";"100pF";"CAPACITOR_0201";"PART";"C16";"";"";"0201YC101KAT2A";"";
"1";"10K";"RESISTOR_0201";"PART";"R2";"";"";"RC0201JR-0710KL";"";
"1";"10nF";"CAPACITOR_0201";"PART";"C24";"";"";"GRM033R71A103KA01D";"";
"1";"10nF/6.3V(10%)";"CAPACITOR";"01005";"C20";"01005 Ceramic SMD capacitor";"";"GRM022R60J103KE19L";"";
"2";"10uF";"CAP_CERAMIC_0402MP";"_0402MP";"C10, C11";"Ceramic Capacitors";"";"GRM155R60G106ME44D";"";
"5";"1uF";"CAPACITOR_0201";"PART";"C1, C2, C3, C15, C18";"";"";"CL03A105KQ3CSNH";"";
"1";"2.4pF";"CAPACITOR_0201";"PART";"C9";"";"";"GRM0335C1H2R4CA01D";"";
"1";"20K(5%)";"RESISTOR";"01005";"R1";"";"";"RC0100JR-0720KL";"";
"2";"27";"RESISTOR_0201";"PART";"R8, R9";"";"";"ERJ-1GNF27R0C";"";
"3";"270";"RESISTOR_0201";"PART";"R3, R4, R5";"";"";"RC0201FR-07270RL";"";
"2";"270pF";"CAPACITOR_0201";"PART";"C6, C7";"";"";"GRM033R71C271KA01D";"";
"1";"3.3nF/6.3V(10%)";"CAPACITOR_0201";"PART";"C21";"";"";"GRM033R70J332KA01D";"";
"1";"4.7uF";"CAPACITOR_0201";"PART";"C23";"";"";"GRM035R60G475ME15D";"";
"1";"40MHz";"ABM12";"ABM12";"XTAL1";"";"";"FA-128 40.0000MF10Z-K3";"";
"2";"47pF";"CAPACITOR_0201";"PART";"C28, C29";"";"";"CC0201JRNPO8BN470";"";
"1";"6.8pF";"CAPACITOR_0201";"PART";"C8";"";"";"GRM0335C2A6R8DA01D";"";
"2";"8pF";"CAPACITOR_0201";"PART";"C4, C5";"";"";"GRM0335C1H8R0DA01D";"";
"1";"DNP";"RESISTOR_0201";"PART";"R6";"";"";"";"";
"1";"ESP32-QFN_5X5";"ESP32-QFN_5X5";"ESP32-QFN48_5X5";"IC1";"ESP32-D2WD - has 2 MiB internal flash";"";"ESP32-D2WD";"";
"1";"FEMU-EDGE-CONNECTOR";"FEMU-EDGE-CONNECTOR";"FEMU-EDGE-CONNECTOR";"U$6";"FEMU Edge connection pads. DNP";"";"";"";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"FID1, FID2, FID3, FID4, FID5, FID6";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";
"3";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1, FRAME2, FRAME3";"Schematic Frame - Letter";"Nobody";"";"v01";
"1";"FT230XQ";"FT230XQ";"QFN16";"IC3";"USB to BASIC UART IC";"";"FT230XQ-R";"";
"1";"LRTB_R48G";"LRTB_R48G";"LRTB_R48G";"RGB1";"OSRAM RGB LED";"";"LRTB R48G";"";
"1";"NCP167AFCT330T2G";"NCP167AFCT330T2G";"WLCSP4";"LDO1";"";"";"NCP167AFCT330T2G";"";
"1";"PULSE_ANT_2.4GHZ";"PULSE_ANT_2.4GHZ";"ANT_BAR";"ANT1";"Manufacturer part #W3008";"";"W3008";"";
"1";"USB-A-PCB";"USB-A-PCB";"USB-A-MALE";"U$37";"";"";"";"";
